age,weight,gender,edu_level,study_hours,sleep_hours,overwhelmed_freq,motivation_level,mental_exhaustion,concentration_diff,exam_anxiety,schedule_balance,procrastination,symptom_score,burnout_risk
15,77.5,0,2,9.8,5.1,1,2,3,4,5,3,4,4,Medium
22,79.3,1,4,9.4,4.0,1,4,3,5,4,3,3,3,Medium
17,60.7,0,2,3.6,7.8,2,3,4,2,4,5,3,5,Medium
17,72.7,0,1,3.2,5.0,4,4,3,1,3,4,3,4,Medium
15,72.7,0,2,3.3,7.0,4,4,3,2,3,3,3,4,Medium
25,48.9,1,2,7.3,6.1,3,5,3,3,3,4,5,5,Medium
19,102.6,1,2,4.1,5.2,2,3,3,2,1,3,3,4,Medium
24,76.2,1,1,4.3,5.5,4,1,5,3,2,4,3,6,Medium
21,106.7,1,3,3.6,5.3,1,3,4,2,3,4,5,4,Medium
24,108.8,1,1,4.8,4.1,1,3,3,3,1,2,5,3,Medium
23,60.9,1,2,6.1,6.8,3,4,3,2,3,3,3,5,Medium
26,94.3,1,3,6.7,4.5,3,4,4,3,2,3,5,4,Medium
21,80.4,0,2,7.8,6.2,5,2,3,4,3,3,5,4,Medium
23,111.0,1,2,5.4,8.6,3,2,2,2,3,2,3,4,Medium
22,61.2,1,2,5.2,3.8,5,3,5,3,1,3,5,6,Medium
26,95.8,1,2,4.9,7.7,3,1,5,2,4,2,2,5,Medium
16,90.6,0,2,3.7,7.6,4,3,4,3,3,2,3,5,Medium
15,67.1,0,2,2.1,4.2,3,2,5,3,1,3,2,4,Medium
30,55.2,1,3,4.4,6.0,5,4,5,3,3,3,2,5,Medium
21,93.9,1,3,6.0,7.7,3,1,3,3,4,4,5,5,Medium
21,100.4,1,2,6.5,5.2,4,3,2,4,3,4,3,4,Medium
28,68.7,0,1,4.6,6.1,2,5,4,3,3,4,2,3,Medium
22,93.4,1,1,6.5,3.9,3,4,2,2,3,5,3,4,Medium
19,74.6,1,1,6.3,4.0,3,4,3,4,3,2,3,3,Medium
17,98.5,1,2,10.7,8.5,5,3,3,3,3,4,4,4,Medium
26,59.9,1,1,5.9,3.3,1,1,4,4,2,4,5,5,Medium
22,111.8,1,2,6.0,6.5,3,3,3,3,3,3,4,3,Medium
20,66.6,1,3,4.6,4.7,3,3,5,1,5,4,4,6,Medium
25,72.6,1,2,9.3,5.5,1,2,3,5,3,3,5,4,Medium
17,49.4,2,3,9.5,3.4,3,3,4,2,4,4,3,4,Medium
15,53.4,0,3,5.7,6.8,1,1,3,2,2,1,5,3,Medium
17,83.7,0,1,4.5,7.5,1,2,4,4,3,3,3,4,Medium
19,65.1,1,3,13.4,4.2,3,2,2,2,3,4,3,4,Medium
29,107.7,1,3,5.0,5.6,3,5,3,3,4,4,3,3,Medium
28,46.1,1,2,4.3,6.9,3,2,5,3,5,2,3,6,Medium
17,73.4,1,1,8.9,9.2,4,3,4,3,3,3,3,6,Medium
15,70.3,0,2,6.9,5.8,2,3,5,3,3,1,4,5,Medium
19,46.4,1,4,4.9,3.7,5,2,3,5,3,2,3,4,Medium
24,54.3,1,2,7.3,6.7,3,4,3,3,4,3,4,3,Medium
21,76.0,0,1,5.8,6.3,5,1,4,2,4,4,2,5,Medium
29,82.0,0,2,4.1,5.6,1,4,4,4,3,4,4,3,Medium
28,75.3,1,2,9.1,4.6,2,3,1,2,4,3,5,2,Medium
21,84.8,0,2,8.1,5.1,4,4,4,3,4,2,4,5,Medium
25,89.6,1,3,11.9,5.5,3,1,2,2,2,3,4,3,Medium
23,45.7,0,2,7.8,5.0,2,1,2,3,3,5,2,4,Medium
29,79.8,1,3,5.9,6.2,1,3,4,3,3,1,5,4,Medium
29,117.3,1,3,7.3,4.8,4,4,5,3,2,1,4,5,Medium
24,83.9,1,2,5.3,5.0,4,2,4,3,3,3,2,4,Medium
24,95.8,0,1,5.1,5.0,4,4,2,4,5,4,5,4,Medium
26,68.4,1,3,3.2,3.3,3,4,3,4,5,4,4,4,Medium
27,103.0,0,4,11.2,5.4,2,4,3,2,4,3,5,4,Medium
17,103.0,0,1,5.2,6.2,3,3,4,2,4,1,5,4,Medium
29,84.1,2,2,6.0,8.6,2,3,3,4,3,2,5,4,Medium
30,118.2,1,2,6.5,5.7,2,2,4,2,2,1,4,3,Medium
21,54.4,1,3,6.1,8.3,5,3,5,4,4,3,4,5,Medium
15,46.3,0,3,2.8,6.3,1,2,4,4,1,3,2,4,Medium
18,102.8,0,1,10.9,6.7,4,2,4,1,2,3,3,5,Medium
27,105.5,0,3,11.1,8.1,5,4,3,3,5,1,5,5,Medium
30,54.0,1,1,4.3,9.3,4,2,5,4,3,2,1,5,Medium
18,64.9,1,3,3.1,7.2,4,2,4,3,4,1,4,4,Medium
28,46.3,1,2,9.6,6.1,3,3,4,3,3,3,3,4,Medium
19,67.0,1,2,6.6,6.1,3,3,5,4,4,5,5,5,Medium
21,103.0,0,1,11.0,7.3,1,3,4,4,1,3,4,4,Medium
21,83.8,0,1,5.6,6.5,3,3,3,2,5,2,5,4,Medium
27,71.1,0,2,5.7,8.7,3,3,5,5,2,3,4,6,Medium
29,72.9,0,2,3.2,5.4,2,4,5,1,2,1,4,4,Medium
25,45.1,0,1,4.0,6.0,3,3,4,1,5,1,4,5,Medium
27,67.5,2,1,10.1,8.0,3,1,5,2,3,2,3,5,Medium
18,93.5,0,1,7.4,6.8,3,3,3,3,3,4,3,4,Medium
27,118.1,1,3,7.5,7.4,5,2,5,3,5,3,5,6,Medium
30,108.5,0,3,9.2,5.5,4,2,5,2,4,3,4,6,Medium
21,46.8,2,1,3.4,8.3,4,3,4,2,3,4,5,5,Medium
25,112.4,1,2,1.0,7.2,3,4,4,3,3,5,5,4,Low
17,103.7,1,1,7.7,6.9,4,4,5,2,4,4,3,6,Medium
20,103.5,0,4,3.6,7.6,2,2,3,4,2,1,3,4,Medium
26,79.3,1,4,5.4,8.4,4,3,2,3,5,1,3,3,Medium
16,74.9,1,2,12.1,6.3,3,3,5,3,3,1,5,5,Medium
24,67.7,0,4,4.0,7.0,2,3,4,3,2,4,4,3,Medium
27,49.9,0,3,13.0,5.3,3,3,3,4,5,2,4,4,Medium
28,62.1,0,3,8.1,7.5,3,3,4,2,4,4,2,5,Medium
23,63.5,1,2,8.9,8.3,5,3,4,1,1,2,4,5,Medium
19,81.3,1,2,10.6,6.7,4,4,2,2,3,3,5,4,Medium
20,101.1,1,1,6.2,6.0,5,2,4,3,2,4,4,6,Medium
26,80.5,0,2,8.6,5.8,5,3,4,4,4,2,4,5,Medium
26,49.3,0,2,5.0,3.0,3,4,5,4,5,4,5,6,Medium
26,116.8,1,1,7.0,5.5,3,2,3,5,4,2,3,4,Medium
26,115.7,0,2,7.0,5.5,1,2,5,4,2,2,5,5,Medium
18,103.9,1,2,13.3,8.3,2,4,3,2,4,4,4,3,Medium
28,119.3,1,1,8.1,5.6,4,1,4,3,3,3,2,5,Medium
28,85.8,0,2,9.0,3.9,3,4,4,1,3,3,3,4,Medium
25,117.2,1,4,8.3,5.7,4,2,5,3,3,1,4,6,Medium
30,50.7,0,3,7.2,3.9,1,3,2,2,3,2,3,2,Medium
24,72.4,1,2,5.7,6.8,4,1,4,1,3,4,5,5,Medium
21,61.9,0,2,4.8,6.9,5,4,3,5,1,5,1,4,Medium
26,59.7,1,2,9.6,6.9,1,1,3,3,3,5,4,2,Medium
23,55.6,0,1,9.1,5.4,4,4,4,1,3,2,4,5,Medium
21,91.7,1,3,3.6,7.2,5,1,5,3,4,2,1,6,Medium
28,103.6,1,1,12.1,3.4,5,5,4,5,1,5,4,6,High
15,88.4,0,1,8.0,7.4,3,3,5,5,4,3,3,5,Medium
15,56.0,1,3,4.8,6.2,4,5,3,3,3,2,5,4,Medium
23,105.8,0,1,11.5,6.9,5,2,3,3,4,3,2,4,Medium
25,92.7,1,2,6.6,5.1,4,2,2,4,1,1,4,3,Medium
28,74.1,0,1,7.8,4.0,5,4,5,3,2,4,5,6,Medium
23,95.6,1,1,6.9,7.5,3,1,3,4,1,4,3,3,Medium
18,64.5,0,1,5.6,8.0,4,2,3,4,3,5,5,4,Medium
27,70.9,0,1,10.5,7.2,3,3,4,2,3,4,3,5,Medium
23,113.8,0,2,2.4,6.9,3,2,5,5,3,2,5,4,Medium
17,66.8,1,3,8.6,4.8,4,4,3,2,2,4,5,5,Medium
21,80.2,0,2,8.4,4.3,2,3,5,2,2,4,5,5,Medium
20,111.8,1,3,5.0,9.6,3,1,3,3,1,4,4,5,Medium
22,98.1,1,1,7.0,6.8,4,4,5,4,2,4,3,6,Medium
25,49.7,0,2,4.9,8.2,5,1,3,4,2,3,5,4,Medium
23,56.0,1,1,4.4,6.5,1,4,4,3,2,2,5,5,Medium
28,45.6,0,2,5.9,7.8,5,3,3,3,3,5,3,4,Medium
19,92.3,0,2,9.6,6.7,3,2,2,4,4,3,5,3,Medium
15,78.6,1,2,6.7,7.6,4,2,2,3,2,4,4,5,Medium
17,55.1,1,3,5.2,3.9,5,3,3,2,4,5,4,4,Medium
24,116.8,1,2,4.1,6.3,5,2,5,2,4,4,3,6,Medium
26,84.7,0,2,9.7,5.3,2,4,1,4,5,4,2,3,Medium
22,63.1,0,4,3.4,7.1,3,4,4,2,4,2,2,5,Medium
29,82.5,0,2,12.1,8.9,3,5,4,1,3,2,3,5,Medium
25,96.0,1,2,4.8,7.3,3,3,1,3,2,4,4,3,Medium
20,50.7,1,3,6.6,8.1,5,2,2,3,4,2,3,4,Medium
30,65.6,1,2,10.0,6.3,3,3,2,4,3,1,3,4,Medium
30,105.5,0,1,5.7,4.4,1,2,3,1,5,1,2,3,Medium
22,79.5,0,2,7.2,6.7,3,3,5,3,3,2,5,6,Medium
23,86.0,0,2,7.5,4.9,1,3,5,4,3,2,3,5,Medium
18,77.5,0,2,12.1,3.0,3,4,3,2,5,4,1,4,Medium
15,48.3,0,1,9.5,4.7,4,3,2,3,3,2,3,5,Medium
28,57.4,1,4,13.5,6.4,3,1,2,1,3,4,3,2,Medium
15,78.4,1,3,6.6,5.7,3,2,3,4,5,1,4,4,Medium
24,60.7,1,2,3.3,6.2,3,5,2,4,4,1,3,4,Medium
18,48.7,1,2,1.9,6.2,3,1,3,3,5,3,5,3,Medium
26,108.3,0,3,8.2,8.4,4,4,3,1,5,3,3,5,Medium
28,118.6,1,1,7.6,5.2,4,2,3,4,3,3,3,5,Medium
21,104.5,0,2,10.2,4.0,5,2,3,3,4,1,3,4,Medium
16,109.0,1,2,8.0,8.2,3,3,3,1,3,3,4,4,Medium
17,63.1,1,3,4.2,4.1,4,5,3,4,5,1,4,5,Medium
15,117.0,0,1,6.2,7.6,1,3,5,4,5,1,3,4,Medium
19,59.8,1,4,3.5,8.1,3,3,4,5,4,5,4,5,Medium
15,116.4,0,2,7.4,7.2,3,1,4,1,4,4,3,4,Medium
22,119.6,1,2,7.1,8.9,2,3,5,1,2,3,5,5,Medium
15,98.4,1,2,6.4,8.3,3,1,5,3,5,1,2,5,Medium
25,118.6,0,1,4.5,5.4,3,3,5,4,2,2,3,5,Medium
15,87.7,0,3,8.9,4.5,3,3,4,2,4,3,3,4,Medium
16,64.5,1,4,7.0,4.8,5,1,4,1,2,2,5,6,Medium
16,77.8,1,2,2.9,3.0,4,5,3,4,4,5,5,4,Medium
26,89.5,0,4,2.7,8.9,5,1,2,3,5,3,4,4,Medium
20,50.5,1,3,4.7,5.0,5,3,4,4,4,2,2,4,Medium
21,91.7,0,2,9.2,6.7,3,4,3,3,4,1,4,4,Medium
19,118.6,0,2,2.9,3.7,3,4,2,3,3,4,5,2,Medium
30,59.3,0,2,5.3,4.8,3,2,1,3,3,4,3,3,Medium
15,104.4,0,2,3.6,5.5,3,1,5,3,3,4,4,6,Medium
15,113.1,0,1,3.2,4.1,2,4,2,2,5,5,4,3,Medium
17,115.8,2,2,4.9,7.0,3,1,3,2,4,3,2,3,Medium
28,117.0,0,1,9.1,3.0,4,3,5,4,3,3,3,5,Medium
16,84.1,0,3,10.6,4.4,4,3,2,4,3,4,3,3,Medium
19,118.3,0,3,7.6,6.8,4,1,4,2,5,4,3,6,Medium
26,101.8,1,1,6.5,5.4,3,1,5,5,4,4,4,5,Medium
24,57.1,1,2,11.6,9.5,4,2,5,3,5,3,4,5,Medium
30,80.8,0,2,5.8,4.0,3,1,3,3,3,4,4,5,Medium
20,98.9,0,2,7.6,4.7,5,1,3,4,4,3,5,5,Medium
30,63.6,0,2,7.9,6.1,1,3,3,4,2,2,5,3,Medium
21,93.0,0,2,11.7,5.1,4,3,3,2,3,3,4,5,Medium
18,95.0,0,2,4.5,8.4,4,3,5,4,4,2,5,6,Medium
21,57.2,0,1,6.7,9.1,2,3,2,4,2,3,4,3,Medium
25,87.4,0,1,7.2,5.2,3,1,4,3,2,2,5,5,Medium
22,102.9,1,1,9.0,7.3,4,1,3,3,4,4,5,4,Medium
25,82.4,0,3,2.6,3.6,4,4,5,2,3,3,3,5,Medium
15,45.9,1,4,5.7,4.0,1,5,5,2,3,4,5,5,Medium
29,45.7,1,2,6.8,6.8,4,2,3,3,1,3,5,5,Medium
20,71.8,1,2,3.3,6.2,3,3,3,2,2,2,5,4,Medium
22,114.5,0,1,12.1,7.5,5,4,4,3,3,4,4,5,Low
19,62.2,0,2,3.1,5.0,1,3,5,3,3,2,4,4,Medium
18,92.6,0,1,5.3,4.8,5,3,1,4,4,2,4,4,Medium
16,61.7,1,2,6.4,4.3,2,2,4,2,2,3,4,4,Medium
20,69.1,1,4,7.6,4.8,5,5,5,2,3,3,4,6,Medium
20,108.6,1,1,9.0,8.8,3,3,4,4,3,5,4,5,Medium
25,99.7,1,3,2.9,3.7,2,3,5,2,3,3,4,5,Medium
29,52.2,0,1,12.7,3.0,4,3,5,4,4,2,3,5,High
30,77.2,1,2,10.8,5.5,5,2,4,2,2,5,5,5,Medium
30,47.2,0,1,3.1,8.7,1,3,4,3,4,1,4,3,Medium
15,81.1,0,2,7.4,4.2,4,3,3,4,5,2,3,4,Medium
23,94.7,0,1,5.9,3.0,3,2,3,1,2,2,4,3,Medium
26,53.9,0,2,6.2,10.0,4,3,3,4,4,3,2,5,Medium
25,66.7,1,2,4.7,4.0,3,2,4,5,4,3,5,5,Medium
20,74.8,0,2,1.0,6.8,3,1,5,3,4,3,4,6,Medium
30,114.0,1,2,10.4,3.3,2,4,2,3,3,3,3,3,Medium
27,119.5,1,4,5.6,6.6,4,2,4,2,5,3,3,4,Medium
17,48.4,1,2,10.4,5.5,4,2,4,3,5,3,2,4,Medium
18,102.1,0,1,5.5,3.6,4,1,5,5,4,4,5,5,Medium
26,72.9,1,2,5.4,7.4,4,4,5,1,4,1,4,6,Medium
25,74.4,1,3,11.3,5.0,4,4,2,2,3,1,5,3,Medium
18,101.6,0,2,7.0,3.5,5,4,3,4,2,4,3,4,Medium
17,113.9,0,2,6.7,9.4,1,3,3,5,1,2,4,4,Medium
24,116.3,1,1,5.0,8.2,1,1,3,1,2,5,5,3,Medium
17,88.3,1,2,5.9,7.6,5,3,3,2,4,4,4,5,Medium
29,71.8,1,2,2.9,8.6,2,2,4,2,3,3,3,4,Medium
17,104.1,1,4,4.6,9.1,2,2,2,2,5,2,2,4,Medium
18,63.8,1,3,13.3,5.2,3,4,3,3,1,4,5,4,Medium
30,87.3,0,1,3.6,5.5,1,5,2,1,3,2,3,3,Medium
21,71.9,0,2,7.2,7.1,3,5,4,3,4,3,5,5,Medium
18,94.2,0,1,3.1,6.7,2,4,3,2,4,2,3,4,Medium
23,63.0,1,2,2.4,6.7,3,3,3,3,3,3,5,5,Medium
15,59.4,1,3,8.6,4.3,4,3,2,2,4,2,4,5,Medium
22,113.9,0,2,3.0,6.6,3,2,1,3,3,4,4,2,Medium
30,52.6,1,2,7.1,6.5,3,3,5,2,4,3,3,5,Medium
21,82.9,0,1,8.7,9.9,4,4,3,4,3,2,3,5,Medium
16,61.6,0,3,6.3,6.9,5,5,5,3,5,2,3,6,Medium
22,47.9,0,2,6.1,5.4,5,2,4,3,4,1,4,6,Medium
15,47.7,0,2,4.1,7.1,3,1,5,3,3,1,3,5,Medium
25,58.1,0,1,10.8,3.0,5,2,5,3,2,4,3,6,High
26,110.0,0,2,10.8,5.5,4,4,4,3,3,2,3,5,Medium
23,66.2,0,4,10.6,6.7,2,5,3,4,5,1,3,4,Medium
23,116.3,0,2,8.0,7.6,2,4,2,3,1,3,4,2,Low
16,88.6,1,2,6.5,6.5,3,4,5,2,3,2,3,4,Medium
